District,Product,Product_Category
Kataka,Power,Aluminium & Power
Anugul,Power,Aluminium & Power
Sambalpur,Alluminium,Aluminium & Power
Sambalpur,Power,Aluminium & Power
Sundargada,Cement,Cement & Construction Materials
Dhenkanal,Power,Aluminium & Power
Sundargada,Cement,Cement & Construction Materials
Anugul,Alluminium,Aluminium & Power
Sambalpur,Power,Aluminium & Power
Jharsuguda,Cement,Cement & Construction Materials
Anugul,Power,Aluminium & Power
Jajpur,Iron & Steel,Iron & Steel
Jajpur,Pig Iron & Lime Coke,Iron & Steel
Sundargada,Cement,Cement & Construction Materials
Sundargada,Pigment,Refractories & Ceramics
Anugul,Power,Aluminium & Power
Sundargada,Steel,Iron & Steel
,Cement,Cement & Construction Materials
Sundargada,Power,Aluminium & Power
Koraput,Cement,Cement & Construction Materials
Sundargada,Cement,Cement & Construction Materials
Jajpur,Integrated Steel,Iron & Steel
Sundargada,Power,Aluminium & Power
Sundargada,Cement,Cement & Construction Materials
Sundargada,Cement,Cement & Construction Materials
Jajpur,Power,Aluminium & Power
Kataka,Cement,Cement & Construction Materials
Jharsugada,Alluminium & Power,Aluminium & Power
Khurda,Ceramic Product,Refractories & Ceramics
Jajpur,C L O & Ore Fines,Iron & Steel
Bhadrak,Ferro Alloys,Ferro Alloys & Chrome
Kendujhar,Charge Chrome,Ferro Alloys & Chrome
Kendujhar,Ferro Alloys,Ferro Alloys & Chrome
Balangir,Steel & Alloyed Steel,Iron & Steel
Mayurbhanj,Benefication (China clay),Other Mineral Processing
Dhenkanal,Coke,"Coke, Carbon & Explosives"
Anugul,Explosive,"Coke, Carbon & Explosives"
Jharsuguda,Explosive,"Coke, Carbon & Explosives"
Kataka,Ferro Alloys,Ferro Alloys & Chrome
Sundargada,Refractories,Refractories & Ceramics
Ganjam,"Synthetic Rutile, Pure Zirconia, Zirfloor",Other Mineral Processing
Jajpur,Ferro Alloys,Ferro Alloys & Chrome
Sundargada,Explosive,"Coke, Carbon & Explosives"
Rayagada,Ferro Alloys,Ferro Alloys & Chrome
Anugul,Explosive,"Coke, Carbon & Explosives"
Sundargada,Explosive,"Coke, Carbon & Explosives"
Anugul,Explosive,"Coke, Carbon & Explosives"
Dhenkanal,Rerolling,Iron & Steel
Baleswar,Ferro Alloys,Ferro Alloys & Chrome
Baleswar,Chrome Briquetting,Ferro Alloys & Chrome
Sundargada,Casting,Iron & Steel
Rayagada,Ferro Alloys,Ferro Alloys & Chrome
Kendujhar,Pig iron,Iron & Steel
Kataka,Coke,"Coke, Carbon & Explosives"
Baragada,Auto Components,Iron & Steel
Baragada,Auto components,Iron & Steel
Baleswar,Refractory Products,Refractories & Ceramics
Khurda,Hard Ferrite,Iron & Steel
Sundargada,Explosive,"Coke, Carbon & Explosives"
Kataka,Refractory Products,Refractories & Ceramics
Koraput,Special grade Aluminium,Aluminium & Power
Koraput,Aluminium Refinery,Aluminium & Power
Koraput,Zeolite,Other Mineral Processing
Dhenkanal,Ferro Alloys,Ferro Alloys & Chrome
Dhenkanal,Refractory Products,Refractories & Ceramics
Sundargada,Refractory Products,Refractories & Ceramics
Balangir,Explosive,"Coke, Carbon & Explosives"
Sundargada,Explosive,"Coke, Carbon & Explosives"
Sundargada,Refractory Bricks,Refractories & Ceramics
Kataka,Refractory Bricks,Refractories & Ceramics
Jharsuguda,Galvanised Steels,Iron & Steel
Jagatsinghpur,Petroleum Coke,"Coke, Carbon & Explosives"
Sundargada,Refractories Raw Material,Refractories & Ceramics
Jajpur,Coke,"Coke, Carbon & Explosives"
Khurda,White Cement,Cement & Construction Materials
Sundargada,Bauxite Powder,Aluminium & Power
Sundargada,"Copper, Iron & Bronze Powder",Iron & Steel
Sundargada,Refractory materials,Refractories & Ceramics
Kataka,Coke,"Coke, Carbon & Explosives"
Kataka,Coke,"Coke, Carbon & Explosives"
Jharsuguda,Refractory products,Refractories & Ceramics
Dhenkanal,Asbestos,Other Mineral Processing
Kataka,"Fabrication, galvanizing",Other Mineral Processing
Rayagada,Benification of Graphite ore,Other Mineral Processing
Kendujhar,Coke,"Coke, Carbon & Explosives"
Jajpur,Benification Chrome Ore,Ferro Alloys & Chrome
Kataka,Coke,"Coke, Carbon & Explosives"
