Sl. No.,Name & Location,District Group,DRI Kiln No/Capacity in TPD
1,"Adhunik Metalics Ltd. (previously Neepaz Metalicks Ltd,), Vill-ChadriHariharpur,Kuarmunda",SUNDARGADA,5X100
2,"Agrasen Sponge (P) Ltd, Mandiakudar",SUNDARGADA,3X50
3,"B.R. Sponge & Power Ltd., Tumkela, Rajamunda",SUNDARGADA,2X100
4,"Thakur Prasad Sao & Sons (P) Ltd. (Formerly known as Bajrang Ispat (P) Ltd), Kuanrmunda",SUNDARGADA,2X40+2X100
5,"Bhasker steel and ferro Alloys Ltd,Bonai",SUNDARGADA,1X300
6,"Govindam Project Ltd., Kalosihira,Kuarmunda",SUNDARGADA,2X100
7,"Jagannath Sponge (P) Ltd, Kuanrmunda,",SUNDARGADA,1X50
8,"Jai Balaji Jyoti Steels Ltd., Tainser, Lathikata,",SUNDARGADA,4X100
9,"Jay Iron & Steels Ltd., Balanda, Sundargada",SUNDARGADA,2X100
10,"Kalinga Sponge Iron Ltd., Kalunga I.E",SUNDARGADA,2X100
11,"Neepaz Metalicks (P) Ltd,Vill-Chadri Hariharpur,Kuanrmunda",SUNDARGADA,
12,"Mangalam Ispat (P) Ltd,Usra Road, Kuarmunda",SUNDARGADA,
13,"Bajrang Ispat (P) Ltd,Kuarmunda",SUNDARGADA,
14,"Kaushal Ferro Metals (P) Ltd., Podbahal",SUNDARGADA,2X100
15,"Khederia Ispat Ltd.,Kuarmunda",SUNDARGADA,1X50
16,"Maa Sakumbari Sponge Iron (P) Ltd., Kuanrmunda",SUNDARGADA,1X100
17,"Maa Tarini Industries (P) Ltd At-Balanda,Po-Kalunga",SUNDARGADA,2X50
18,"Maa Visnovi Sponge Ltd, Industrial Estate Kalunga",SUNDARGADA,2X50
19,"Mahakali Ispat (P) Ltd, Gurundupali, Bonai",SUNDARGADA,1X50
20,"Thakur Prasad Sao & Sons (P) Ltd. (Formerly known as Mangalam Ispat (P) Ltd., Usra Road, Kuarmunda",SUNDARGADA,2X100
21,"Meta Sponge (P) Ltd.,Kalunga Industrial Estate",SUNDARGADA,1X40
22,Monica Holdings (P) Ltd Bad Jtumkela,SUNDARGADA,1X50
23,"Nixon Steel & Power Ltd, , Industrial Estate Kalunga,",SUNDARGADA,1X350
24,"OCL India Ltd.,(Sponge Iron Division),Rajgangpur",SUNDARGADA,4X100
25,"Ores ispat ( P) Ltd, Bonai",SUNDARGADA,1X50
26,"Pawanjaya Sponge Iron LtdAt-Bijabahal, Po-Kunjharia",SUNDARGADA,4X50
27,"Pooja Sponge Iron Ltd., Kalunga I/E., Sundargada",SUNDARGADA,2X100
28,"Prabhu Sponge Iron (P) LtdJhagarpur, Rajgangpur",SUNDARGADA,4X50
29,"Reliable Sponge (P) Ltd., Jhaliaberena, Bonai",SUNDARGADA,2X100
30,"Rexon Strips Ltd.,Kumakela",SUNDARGADA,2X100
31,"Rungta Mines, Komando,Kalta",SUNDARGADA,6X100
32,"Sai Sardha Sponge (P) Ltd,Bijabahal",SUNDARGADA,1X25
33,"Scan Steels Ltd, Ramabahal,Rajgangpur",SUNDARGADA,2X50
34,"Seeta Sponge Iron Ltd.,Kalunga Industrial Estate",SUNDARGADA,1X50+1X100
35,"Shiv Mettaliks (P) Ltd,Gurundupali,Bonai",SUNDARGADA,2X100
36,Shree Ganesh Metalicks Ltd Kuanrmunda,SUNDARGADA,4X100
37,"Shrishti Ispat Ltd(unit of Scan Steel Ltd), Budakata, Bringatoli",SUNDARGADA,4X100
38,"Sponge Udyog Pvt. Ltd., Jiabahal, Kalunga",SUNDARGADA,2X100
39,"Sri Balaji Metallics (P) Ltd, Kharibandh",SUNDARGADA,2X50
40,"Sri Hari Sponge Iron Ltd, Bonai",SUNDARGADA,1X100
41,"Sri Mahavir Ferro Alloys (P) Ltd.,Kalunga Industrial Estate",SUNDARGADA,3X100
42,"Suraj Products Ltd.,Barapali, Kesarmal, Rajgangpur",SUNDARGADA,3X50
43,"Surendra Mining Industries (P) Ltd., Bonai",SUNDARGADA,2X100
44,"Swastic Ispat (P) Ltd.,Kuanrmunda",SUNDARGADA,2X50
45,"T.R. Chemicals (P) Ltd.,Barpalli, Rajgangpur",SUNDARGADA,3X50
46,"Utkal Metallicks Ltd, Kalunga Industrial Estate",SUNDARGADA,2X50
47,"Vasundhara Metaliks (P) Ltd, Podajalanga, Bilaimunda(Hingir",SUNDARGADA,1X50
48,"Vedvyas Ispat (P) Ltd.,Kuarmunda",SUNDARGADA,1X100
49,"Vikram Sponge Iron Ltd, Bonai",SUNDARGADA,2X100
50,"Vishal Metallicks Ltd, Bonai",SUNDARGADA,1X100
51,"Aditya Sponge & Power (P) Ltd.,Telkoi, Dubulapal, Kendujhar",KENDUJHAR,2X100
52,"Beekay Steels & Power Ltd.,Uliburu, Nalda, Kendujhar",KENDUJHAR,1X300
53,"Crackers India Alloys.,Ltd, (Sponge) Gobardhanpur, Deojhar,Kendujhar",KENDUJHAR,2X100
54,"Deepak Steel and Power Ltd, Topadihi, Kendujhar",KENDUJHAR,2X50+2X100
55,"Deepak Steel and Power Ltd, Uliburu",KENDUJHAR,2X100
56,"Grewal Associates.,Matkambeda, Badabil, Kendujhar",KENDUJHAR,4X100
57,"M/s K.J.S. Ltd (Formerly known as Hima Ispat Pvt. Ltd)., Barpada, Guali, Kendujhar",KENDUJHAR,1X300
58,"Kusum Power Met Ltd,Kutugaon, Chipinda, Kendujhar",KENDUJHAR,2X50+2X100
59,"MSP Sponge Iron (P) Ltd Haladiaguna, Gohardhanpur",KENDUJHAR,2X40+2X50
60,"N.K Bhojani (P) Ltd.,Rugudihi,Guali,Badabil",KENDUJHAR,3X40
61,"OMDC Sponge Iron Plant, Thakurani",KENDUJHAR,1X100
62,"(M/s Pattaik Mineral (P) Ltd) (Formerly known Orion Ispat Ltd.,Ramchandrapur",KENDUJHAR,3X100
63,"Orissa Sponge Iron Ltd.,Palaspanga",KENDUJHAR,1X350+1X500
64,"Rungta Mines,(Sponge Iron Division),Karakola, Badabil,",KENDUJHAR,5X100
