Name of the Industry,Location,District
M/s. Kamaljit Singh Ahlualia,"Katashahi, Koira",Sundargada
M/s. Deepak Steel & Power Ltd,Topadihi,Kendujhar
M/s. Prakash Ind. Ltd,Koida,Sundargada
M/s. Kaypee Enterprises,Dalki,Kendujhar
M/s. Maa Tarini Udyog,At/PO-Champei,Kendujhar
"M/s. Mala Roy, I. Roy & P. Roy","Jalahuri Iron & Mn Mine, Joda",Kendujhar
M/s. Kalinga Mineral Processing,"Mundula, Bayakamotia",Kendujhar
M/s. Bansapani Iron Ltd,"Jurudi, Jajang",Kendujhar
M/s. Patnaik Minerals (P) Ltd,"Jaribahal, Palasa",Kendujhar
M/s. Narayani Sons (P) Ltd,"Surgutaria, Bansapani",Kendujhar
M/s. Binodini Minerals,"Danla, Suakati",Kendujhar
M/s. Shree Processor,"Salarpentha, Mahadeijoda",Kendujhar
M/s. Mangalam Ispat,"Kasia, Bhadrasahi",Kendujhar
M/s. Kalinga Mining Corp,Jurudi,Kendujhar
"The Orissa Minerals Dev. Corp, Roida Crushing & Screening Unit","Bhuya Roida, Badabil",Kendujhar
M/s. Futuristic Steel (P) Ltd,"Joda, Palasa (Kha)",Kendujhar
M/s. Roida Crushing & Screening Unit (OMDC),"B. Roida, Badabil",Kendujhar
M/s. J. B. Industries,"Tanta, Bhadrasahi",Kendujhar
M/s. Utkal Ispat (P) Ltd,At/PO-Kasia,Kendujhar
M/s. Jagannath Udyog,"Lunghar, Suakati",Kendujhar
M/s. Satguru Minerals & Steels,"At-Kasia, PO-Badabil",Kendujhar
M/s. Swarajya Buil-Tech (P) Ltd,"At-Baiya Kumutia, PO-Suakati",Kendujhar
M/s. S. P. Minerals,AT/PO-Koira,Sundargrh
M/s. P. V. Enterprises,"At-Kasira, PO-Koira",Sundargada
M/s. M. G. Mohanty,"At-Patbeda, PO-Malda",Sundargada
M/s. Gitarani Mohanty,"At-Raikela, PO-Dengula",Sundargada
M/s. Maa Manasha Crushing Plant,"At-Kasira, PO-Koira",Sundargada
M/s. Aryan Mining & Trading Corporation (P) Ltd,"At-Narayanposhi, PO-Koira",Sundargada
M/s. Singhal Enterprises (P) Ltd,"At-Jaribahal, PO-Joda",Kendujhar
M/s. Crackers India Alloys (P) Ltd,Kalikaprasad,Kendujhar
M/s. Shree Ganesh Sponge (P) Ltd,"At-Rugudi, PO-Badabil",Kendujhar
M/s. Harsha Ltd,"At-Sonua, PO-Koira",Sundargada
M/s. United Enterprises,At/PO-Bansapani,Kendujhar
M/s. Bajarang Metaliks (P) Ltd,"At-Sonua, PO-Koira",Sundargada
M/s. Associated Enterprises,"At/PO-Bileipada, Joda",Kendujhar
M/s. Maa Tarini Iron Ore Processing & Metal Industries,"At-Sergigarh, PO-Koira",Sundargada
M/s. Shree Balaji Metal Industries,At/PO-Kasia,Kendujhar
M/s. Maa Shakti Crusher Co.,"At-Palsha (Kha), PO-Bambeari",Kendujhar
M/s. Global Mining Industries,At/PO-Kasia,Kendujhar
M/s. Global Associates,"At-Kalamang, PO-Malda",Sundargada
M/s. Maheswari Minerals,"At-IDCO I.E, PO-Matkambeda",Kendujhar
M/s. Sri Shyam Minerals,"At-Sonua, PO-Koira",Sundargada
M/s. Aftek Traders (P) Ltd,"At-B. Roida, PO-Badabil",Kendujhar
M/s. Shree Balaji (India) (P) Ltd,"At-Hatisikuli, PO-Utkam",Mayurbhanj
M/s. Vipra Industries (P) Ltd,"At-Barapada, PO-Guali",Kendujhar
M/s. Harihar Iron & Steel (P) Ltd,"At-Sonua, PO-Patmunda",Sundargada
M/s. Sankar Udyog,"At-Sargigarh, PO-Patmunda",Sundargada
M/s. Westwell Iron & Steel (P) Ltd,"At-Banspani, PO-Joda",Kendujhar
M/s. Sidhi Vinayak Ferro Alloys Ltd,"At-Barapada, PO-Guali",Kendujhar
M/s. H. L. Trader & Supplier (P) Ltd,"At-Surjigarh, PO-Patmunda",Sundargada
M/s. Khatushyamjee Minerals (P) Ltd,"At-Purunadihi, PO-Badakalamati",Kendujhar
M/s. Dwarka Sponge Food (P) Ltd,"At-Sonua, PO-Koira",Sundargada
M/s. Padmavati Ispat & Minerals Ltd,"At-Kusumudihi, PO-Koira",Sundargada
M/s. R. K. Minerals,"At-Khajuridihi, PO-Badabil",Kendujhar
M/s. Balaji Melter (P) Ltd,"At-Soida, PO-Pallahada",Anugul
M/s. Balaji Hi-Tech Rolling (P) Ltd,"At-Palasha (Kha), PO-Joda",Kendujhar
M/s. Gay Minerals & Steel Ltd,"At-Raika, PO-Serenda",Kendujhar
M/s. Badbil Khanij Udyog,"At-Jamupani, PO-Dubuna",Kendujhar
M/s. Koira Ores (P) Ltd,"At-Sargigarh, PO-Koira",Sundargada
M/s. T. R. Chemicals (P) Ltd,"At-Khajuridiha, PO-Dubuna",Kendujhar
M/s. Ritika Alloys (P) Ltd,"At-Badaindupur, PO-Koira",Sundargada
M/s. Sky-line Minerals & Construction (P) Ltd,"At-Govindpur, PO-Raghunathpur",Kendujhar
