Sl.No,Name of the Industry,District,Product
1,"Indian Metals and Ferro Alloys Ltd. (CPP Unit), At- Choudwar",Kataka,Power
2,"NALCO (CPP), Nalco Nagar",Anugul,Power
3,"Hindalco Industries Ltd, Hirakud",Sambalpur,Alluminium
4,"Hindalco Industries Ltd, P.B. NO.12, Hirakud",Sambalpur,Power
5,"OCL India Ltd (Cement Unit), Rajgangpur",Sundargada,Cement
6,"Nava Bharat Ventures Ltd, Kharagaprasad, Mermundali",Dhenkanal,Power
7,"Chariot Cement Ltd (Unit-II), Industrial Estate, Kalunga",Sundargada,Cement
8,"NALCO Smelter, Nalco Nagar",Anugul,Alluminium
9,IB Thermal Power Station,Sambalpur,Power
10,"Ultratech Cement, Arda, Jharsuguda",Jharsuguda,Cement
11,"Thalcher Thermal Power Station (TTPS) (NTPC), Talcher",Anugul,Power
12,"Nilachal Ispat Nigam Ltd, Duburi",Jajpur,Iron & Steel
13,"Visa Steel Ltd, Kalinganagar Industrial Estate",Jajpur,Pig Iron & Lime Coke
14,"Shiva Cement Ltd, Kutra",Sundargada,Cement
15,"Golcha Pigment (P) Ltd, S-3, 97 & 98 Kalunga Industrial Estate",Sundargada,Pigment
16,"Thalcher Super Thermal Power Project (NTPC), Kaniha",Anugul,Power
17,"Rourkela Steel Plant, Rourkela",Sundargada,Steel
18,"Baragada Cement Works (ACC), Baragada",,Cement
19,"NTPC, SAIL, Power Company Ltd, Rourkela",Sundargada,Power
20,"Toshali Cement (P) Ltd, Ampavalli, Sunki",Koraput,Cement
21,"K.G.N. Cement (P) Ltd, Mandiakudar, Po-Kansbahal",Sundargada,Cement
22,"Meadeast Integrated Steel (P) Ltd, Khurunti, Danagadi",Jajpur,Integrated Steel
23,"RSP C.P.P, Rourkela",Sundargada,Power
24,"Sita Cement (Sundargada), Telighana, Kutra",Sundargada,Cement
25,Sushila Cement (P) Ltd.,Sundargada,Cement
26,"Jindal Stainless (CPP), Loidapada",Jajpur,Power
27,"Kapilash Cement Works of M/s OCL India Ltd, Biswali, Barunia",Kataka,Cement
28,"Vedanta Alluminium Ltd., At- Bhurkhamunda",Jharsugada,Alluminium & Power
29,Annuja Ceramics,Khurda,Ceramic Product
30,Essar Steel,Jajpur,C L O & Ore Fines
31,FACOR,Bhadrak,Ferro Alloys
32,"Ferro Alloys Plant, TISCO, Bamanipal",Kendujhar,Charge Chrome
33,"Ferro Manganese Plant, TISCO, Joda",Kendujhar,Ferro Alloys
34,G.K.W Ltd. (Powmex Steel Ltd.),Balangir,Steel & Alloyed Steel
35,Hiranya Garva China Clay & Mineral (P) Ltd.,Mayurbhanj,Benefication (China clay)
36,I.B. Industry Ltd.,Dhenkanal,Coke
37,I.B.P. Co. Ltd.,Anugul,Explosive
38,I.B.P. Co. Ltd.,Jharsuguda,Explosive
39,I.C.C.L (CPP),Kataka,Ferro Alloys
40,I.F.G.L. Refractory (Unit-I & Unit-II),Sundargada,Refractories
41,I.R.E (OSCOM),Ganjam,"Synthetic Rutile, Pure Zirconia, Zirfloor"
42,Idcol Ferro Chrome Plant,Jajpur,Ferro Alloys
43,IDL Industries Ltd.,Sundargada,Explosive
44,"IMFA (F-1, F-2 & F-3)",Rayagada,Ferro Alloys
45,Indian Explosive Ltd.,Anugul,Explosive
46,Indian Explosive Ltd.,Sundargada,Explosive
47,Indo Gulf Industries Ltd.,Anugul,Explosive
48,IPI Steel Ltd. (F-I & II),Dhenkanal,Rerolling
49,"Ispat Alloys Ltd. - F-1, F-2, F-3, F-4, F-5",Baleswar,Ferro Alloys
50,Ispat Chrome Ltd.,Baleswar,Chrome Briquetting
51,Jaimata Ambe Steels (P) Ltd.,Sundargada,Casting
52,Jeypore Sugar Company Ltd. (Ferro Mn. Plant),Rayagada,Ferro Alloys
53,Kalinga Iron Works,Kendujhar,Pig iron
54,Konark Met Coke Ltd.,Kataka,Coke
55,Kripal Alloys Steel (P) Ltd.,Baragada,Auto Components
56,Kripal Spring (P) Ltd.,Baragada,Auto components
57,Kumar Ceramics (P) Ltd.,Baleswar,Refractory Products
58,Magentic India Ltd.,Khurda,Hard Ferrite
59,Mahanadi Metals & Chemicals (P) Ltd.,Sundargada,Explosive
60,Manisri Refractories & Ceramics,Kataka,Refractory Products
61,NALCO Ltd. (Pilot Plant),Koraput,Special grade Aluminium
62,NALCO Ltd. (Refinery Unit),Koraput,Aluminium Refinery
63,NALCO Ltd. (Zeolite),Koraput,Zeolite
64,Nave Bharat Ferro Alloys Ltd. (F-I & II),Dhenkanal,Ferro Alloys
65,Nilachal Refractories Ltd.,Dhenkanal,Refractory Products
66,OCL (Refractory Unit),Sundargada,Refractory Products
67,Ordnance Factory,Balangir,Explosive
68,Orissa Explosives (P) Ltd.,Sundargada,Explosive
69,Orissa Industries Ltd.,Sundargada,Refractory Bricks
70,Orissa Industry Ltd. (Barang),Kataka,Refractory Bricks
71,Padma Engineers (P) Ltd.,Jharsuguda,Galvanised Steels
72,Paradeep Carbons Ltd.,Jagatsinghpur,Petroleum Coke
73,Passary Minerals Ltd.,Sundargada,Refractories Raw Material
74,Pyramid Coke Industries (P) Ltd.,Jajpur,Coke
75,Refcem Pvt. Ltd.,Khurda,White Cement
76,Rourkela Minerals Company (P) Ltd.,Sundargada,Bauxite Powder
77,S.L.M. Metals,Sundargada,"Copper, Iron & Bronze Powder"
78,Shiva Refractories & Ceramics Ltd.,Sundargada,Refractory materials
79,Sri Jagannath Combine Coke,Kataka,Coke
80,Sri Mahavir Carbon Ltd.,Kataka,Coke
81,TRL (Refractory Unit),Jharsuguda,Refractory products
82,Utkal Asbestos Ltd.,Dhenkanal,Asbestos
83,"Utkal Galvanisers (P) Ltd., Kapursingh",Kataka,"Fabrication, galvanizing"
84,Utkal Graphites (P) Ltd.,Rayagada,Benification of Graphite ore
85,Utkal Mounders Ltd.,Kendujhar,Coke
86,Visa Industries Ltd.,Jajpur,Benification Chrome Ore
87,Wellman Incandescent India Ltd.,Kataka,Coke
