District,DRI_Kiln_Capacity,Category,Tones per Day
SUNDARGADA,3X50,Sponge Iron,150.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,2X40+2X100,Sponge Iron,280.0
SUNDARGADA,1X300,Sponge Iron,300.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,1X50,Sponge Iron,50.0
SUNDARGADA,4X100,Sponge Iron,400.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,,Sponge Iron,
SUNDARGADA,,Sponge Iron,
SUNDARGADA,,Sponge Iron,
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,1X50,Sponge Iron,50.0
SUNDARGADA,1X100,Sponge Iron,100.0
SUNDARGADA,2X50,Sponge Iron,100.0
SUNDARGADA,2X50,Sponge Iron,100.0
SUNDARGADA,1X50,Sponge Iron,50.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,1X40,Sponge Iron,40.0
SUNDARGADA,1X50,Sponge Iron,50.0
SUNDARGADA,1X350,Sponge Iron,350.0
SUNDARGADA,4X100,Sponge Iron,400.0
SUNDARGADA,1X50,Sponge Iron,50.0
SUNDARGADA,4X50,Sponge Iron,200.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,4X50,Sponge Iron,200.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,6X100,Sponge Iron,600.0
SUNDARGADA,1X25,Sponge Iron,25.0
SUNDARGADA,2X50,Sponge Iron,100.0
SUNDARGADA,1X50+1X100,Sponge Iron,150.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,4X100,Sponge Iron,400.0
SUNDARGADA,4X100,Sponge Iron,400.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,2X50,Sponge Iron,100.0
SUNDARGADA,1X100,Sponge Iron,100.0
SUNDARGADA,3X100,Sponge Iron,300.0
SUNDARGADA,3X50,Sponge Iron,150.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,2X50,Sponge Iron,100.0
SUNDARGADA,3X50,Sponge Iron,150.0
SUNDARGADA,2X50,Sponge Iron,100.0
SUNDARGADA,1X50,Sponge Iron,50.0
SUNDARGADA,1X100,Sponge Iron,100.0
SUNDARGADA,2X100,Sponge Iron,200.0
SUNDARGADA,1X100,Sponge Iron,100.0
KENDUJHAR,2X100,Sponge Iron,200.0
KENDUJHAR,1X300,Sponge Iron,300.0
KENDUJHAR,2X100,Sponge Iron,200.0
KENDUJHAR,2X50+2X100,Sponge Iron,300.0
KENDUJHAR,2X100,Sponge Iron,200.0
KENDUJHAR,4X100,Sponge Iron,400.0
KENDUJHAR,1X300,Sponge Iron,300.0
KENDUJHAR,2X50+2X100,Sponge Iron,300.0
KENDUJHAR,2X40+2X50,Sponge Iron,180.0
KENDUJHAR,3X40,Sponge Iron,120.0
KENDUJHAR,1X100,Sponge Iron,100.0
KENDUJHAR,3X100,Sponge Iron,300.0
KENDUJHAR,1X350+1X500,Sponge Iron,850.0
KENDUJHAR,5X100,Sponge Iron,500.0
KENDUJHAR,2X100,Sponge Iron,200.0
KENDUJHAR,2X50+4X100+1X300,Sponge Iron,800.0
KENDUJHAR,2X100,Sponge Iron,200.0
KENDUJHAR,2X50,Sponge Iron,100.0
KENDUJHAR,2X375+1X500,Sponge Iron,1250.0
KENDUJHAR,1X350,Sponge Iron,350.0
KENDUJHAR,,Sponge Iron,
SAMBALPUR,2X100,Sponge Iron,200.0
SAMBALPUR,4X500,Sponge Iron,2000.0
SAMBALPUR,2X100,Sponge Iron,200.0
SAMBALPUR,2X100,Sponge Iron,200.0
SAMBALPUR,1X50,Sponge Iron,50.0
SAMBALPUR,1X500,Sponge Iron,500.0
SAMBALPUR,1X100,Sponge Iron,100.0
SAMBALPUR,2X350,Sponge Iron,700.0
SAMBALPUR,3X100,Sponge Iron,300.0
SAMBALPUR,2X350,Sponge Iron,700.0
JHARSUGUDA,2X350,Sponge Iron,700.0
JHARSUGUDA,1X50,Sponge Iron,50.0
JHARSUGUDA,1X350,Sponge Iron,350.0
JHARSUGUDA,2X100,Sponge Iron,200.0
JHARSUGUDA,2X100,Sponge Iron,200.0
JHARSUGUDA,2X100,Sponge Iron,200.0
JHARSUGUDA,1X100,Sponge Iron,100.0
JHARSUGUDA,2X100,Sponge Iron,200.0
JHARSUGUDA,2X100,Sponge Iron,200.0
JHARSUGUDA,2X300,Sponge Iron,600.0
JHARSUGUDA,6X100,Sponge Iron,600.0
JHARSUGUDA,4X100,Sponge Iron,400.0
JHARSUGUDA,1X350,Sponge Iron,350.0
ANUGUL,1X300,Sponge Iron,300.0
ANUGUL,1X100,Sponge Iron,100.0
ANUGUL,2X100,Sponge Iron,200.0
DHENKANAL,6X500,Sponge Iron,3000.0
DHENKANAL,2X100,Sponge Iron,200.0
DHENKANAL,1X350,Sponge Iron,350.0
DHENKANAL,1X300,Sponge Iron,300.0
JAJPUR,2X100,Sponge Iron,200.0
JAJPUR,1X100,Sponge Iron,100.0
JAJPUR,2X350,Sponge Iron,700.0
JAJPUR,2X40+2X100,Sponge Iron,280.0
JAJPUR,2X500,Sponge Iron,1000.0
KATAKA,1X500,Sponge Iron,500.0
KATAKA,4X100,Sponge Iron,400.0
KATAKA,1X50,Sponge Iron,50.0
KATAKA,1X50,Sponge Iron,50.0
MAYURBHANJ,2X100,Sponge Iron,200.0
